"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"National Museums of Kenya - East African Herbarium","Itambo Malombe","Museum Hill Road, P.O. Box 40658","Museum Hill Road","P.O. Box 40658","Nairobi","Nairobi","00100","Kenya"
"National Oceanic and Atmospeheric Administration","Kathy Moore","1315 East-West Hwy","","","Silver Spring","Maryland","","USA"
"National Research Council-Institute of Sciences of Food Production","Dr. Antonio Francesco Logrieco","","","","","","",""
"National Sun Yat-Sen University, Department of Biological Sciences","Ho-Yih  Liu","Department of Biological Sciences","70 Lien-Hai Road","70 Lien-Hai Road","Kaohsiung 80424","","80424","Taiwan"
"Natural History Museum of Los Angeles County","Susan Oshima","900 Exposition Boulevard","","","Los Angeles","California","90007","USA"
"Natural History Museum, London","Dr Paul G. Davis, Museum Registrar","Cromwell Road","Natural History Museum","","South Kensington","London","SW7 5BD","United Kingdom"
"Natuurhistorisch Museum Maastricht, Botany Department","Douwe Th. de Graaf","Botany Department","De Bosquetplein 6-7","","6211 KJ Maastricht","","NL-6211KJ","Netherlands"
"New Brunswick Provincial Museum, Saint John (Herbarium)","Stephen R. Clayden","277 Douglas Avenue","","","Saint John","New Brunswick","E2K 1E5","Canada"
"New Guinea Binatang Research Center","Dr. Vojtech Novotny","New Guinea Binatang Research Center","P. O. Box 604","","","Madang","","Papua New Guinea"
"New Natural Material Bank","Youn-Chul Kim","Wonkwang University","College of Pharmacy","#344-2 Shinyong-dongWonkwang University","Iksan","Jeonbuk","570-749","South Korea"
"New York State Museum","","Herbarium","Biological Survey, CEC 3140","New York State Museum","Albany","New York","12230","USA"
"Newberry College Herbarium","Charles N. Horn","Department of Biology","2100 College Street, Math and Science Building.","2100 College Street","Newberry","South Carolina","29108","USA"
"NIGERIAN INSTITUTE FOR OCEANOGRAPHY AND MARINE RESEARCH","Oguntade Olalekan Rahman","NIGERIAN INSTITUTE FOR OCEANOGRAPHY AND MARINE RESEARCH","3, Wilmot Point Road, Off Ahmadu Bello Way ,","PMB 1279","Lagos","Lagos","101241","Nigeria"
"North Carolina State University Insect Museum","","Department of Entomology","NC State University","Box 7613","Raleigh","NC","27695","USA"
"North Central Regional Plant Introduction Station","Candice Gardner","USDA-ARS-PIRU","G212 Agronomy Hall","Iowa State University","Ames","IA","50011-1170","USA"
"Northern Arizona University","Dr. Stefan Sommer, Director","Colorado Plateau Biodiversity Center","Northern Arizona University","Campus Box 5640","Flagstaff","Arizona","86011","USA"
"Norton-Brown Herbarium, University of Maryland","Maile Neel","Research Greenhouse Complex","","","College Park","Maryland","20742-5815","USA"
"Norwegian University of Science and Technology - Herbarium","Hans K. Stenoien","Section of Natural History","","","N-7491 Trondheim","","","Norway"
"Norwegian University of Science and Technology - University Museum","Dr. Torbjorn Ekrem","NTNU University Museum","Department of Natural History","","Trondheim","","NO-7491","Norway"
"Oberösterreichisches Landesmuseum","Gerhard Aubrecht","Biology centre, State Museums of Upper Austria","J.-W.-Klein-Straße 73","","Linz","Upper Austria","4040","Austria"
"Ocean Genome Legacy","Timery S. DeBoer, PhD","430 Nahant Road","","","Nahant","MA","01908","USA"
"Old Dominion University, Department of Biological Sciences","Rebecca D. Bray","Department of Biological Sciences","45th Street, 354 Mills Godwin Building","45th Street, 354 Mills Godwin Building","Norfolk","Virginia","23529-0266","USA"
"Olds College, School of Horticulture","Duncan  Himmelman","Horticulture Department","Land Sciences Centre","4500  50th Street","Olds","Alberta","T4H 1R6","Canada"
"Oregon State Arthropod Collection","Christopher J. Marshall","3029 Cordley Hall","Department of Integrative Biology","Oregon State University","Corvallis","OR","97331-2914","USA"
"Pacific Forestry Centre's Forest Pathology Herbarium","Brenda Callan, Director","506 West Burnside Road","Pacific Forestry Centre, Canadian Forest Service","506 West Burnside Road","Victoria","British Columbia","V8Z 1M5","Canada"
"Parasite Resource Bank","Keeseon EOM","Chungbuk National University","Parasites Resource Bank(Bldg 32-301)","Gaesin-dong 12","Cheongju","Chungbuk","361-763","South Korea"
"Peabody Museum of Natural History","Tim White","PO Box 208118","","","New Haven","CT","06520-8118","USA"
"Peabody Museum of Natural History","Tim White","170 Whitney Avenue","PO Box 208118","","New Haven","CT","06520-8118","USA"
"Plant DNA Bank in Korea","Ki-Joong Kim","School of Life Sciences, Korea University","Anamdong-5-1, Seungbuk-gu","","Seoul","Seoul","136-701","Korea"
"Plant Genetic Resources Conservation Unit","Robert Jarret","USDA/ARS/PGRU","1109 Experiment Street","","Griffin","Georgia","30223","USA"
"Plant Pathology Herbarium","Michael Priest","Industry and Investment NSW","Locked Bag 6006, 1447 Forest Road","Forest Road","Orange","New South Wales","2800","Australia"
"Plant Protection Research Institute, National Collection of Fungi","Dr. Elna van der Linde, Curator, Fungal Collections","Biosystematics Division, Mycology Unit","Agricultural Research Council","Private Bag X134, Queenswood","Pretoria 0121","Gauteng Province","121","South Africa"
"Plant Virus GenBank","Pofessor K. H. Ryu","Plant Virus GenBank","Seoul Women's University","Nowon-ku Kong Nung 2-dong 126","Seoul","","139-774","South Korea"
"Portland State University, Vertebrate Biology Museum","Luis A. Ruedas","Portland State University","Museum of Vertebrate Biology","P.O. Box 751","Portland","OR","97207-0751","USA"
"Queensland Museum","Dr John Hooper","PO Box 3300","","","South Brisbane","Queensland","4101","Australia"
"Queensland Primary Industries Insect Collection","Desley Tree","Ecosciences Precinct","GPO Box 267","","Brisbane","Queensland","4001","Australia"
"R. L. McGregor Herbarium","Craig C. Freeman","Bridwell Botanical Research Laboratory","2045 Constant Ave.","","Lawrence","Kansas","66047","USA"
"Research Center for Biodiversity, Academia Sinica","Svetlana M. Kuzmenkova","Biodiversity Research Museum","128 Sec. 2, Academia Road","Biodiversity Research Center, Academia Sinica","Taipei  11529","","11529","Taiwan"
"Robert K. Godfrey Herbarium, Florida State University","Austin Mast","Department of Biological Science","Department of Biological Science","Florida State University","Tallahassee","Florida","32306-4370","USA"
"Romanian Bioresource Centre and Advanced Research Association","dr. Sergiu Fendrihan","aleea istru nr.2C","","","Bucharest","Mun. Bucharest","61912","Romania"
"Royal Belgian Institute of Natural Sciences","Gontran Sonet","Rue Vautierstraat, 29","","","Brussels","Belgium","1000","Belgium"
"Royal Botanic Garden Edinburgh","David Harris","20A Inverleith Row","","","Edinburgh","Scotland","EH3 5LR","United Kingdom"
"Royal Botanic Gardens, National Herbarium of New South Wales","Dale Dixon, Collections Manager","Mrs Macquaries Road","Royal Botanic Gardens","Mrs Macquaries Road","Sydney","New South Wales","2000","Australia"
"Royal British Columbia Museum - Herbarium","Kelly Sendall","Botany Unit","675 Belleville Street","","Victoria","British Columbia","V8V 9W2","Canada"
"Royal Museum for Central Africa","Marc De Meyer","Leuvensesteenweg 13","","","Tervuren","Vlaams Brabant","B3080","Belgium"
"Royal Ontario Museum","Mark Engstrom","100 Queen's Park","","","Toronto","Ontario","M5S 2C6","Canada"
"Royal Ontario Museum - Entomology","Dr. Chris Darling, Senior Curator","100 Queen's Park","","","Toronto","Ontario","M5S 2C6","Canada"
"Royal Ontario Museum - Fungarium","Jean-Marc Moncalvo, Curator; Simona Margaritescu, Collection Manager","Department of Natural History","100 Queen's Park","","Toronto","Ontario","","Canada"
"Royal Ontario Museum - Herbarium","Timothy A. Dickinson","Department of Natural History","Centre for Biodiversity and Conservation Biology","100 Queen's Park","Toronto","Ontario","M5S 2C6","Canada"
"Russian Academy of Sciences, Zoological Institute, Zoological Museum","","Zoological Museum of Russian Academy of Sciences","Universitetskaya embankment, 1","","St. Petersburg","","199034","Russia"
"Rutgers University - Chrysler Herbarium","Lena Struwe","Department of Plant Biology and Pathology","237 Foran Hall, 59 Dudley Road","237 Foran Hall, 59 Dudley Road","New Brunswick","New Jersey","08901-8551","USA"
"Santa Barbara Museum of Natural History","Henry Chaney, PhD, Director of Collections and Research","Santa Barbara Museum of Natural History","2559 Puesta del Sol","","Santa Barbara","CA","93105","USA"
"Save Our Seas Shark Research Center, Nova Southeastern University","Mahmood S. Shivji","8000 North Ocean Drive","","","Dania Beach","Florida","33004","USA"
"Scripps Institution of Oceanography","Prof. Philip A. Hastings","9500 Gilman Drive, Dept. 0219","University of California, San Diego","","La Jolla","California","92093-0219","USA"
"Shahre Kord University","Iraj Hashemzadeh Segherloo","Dept. of Fisheries and Environmental Sciences, Faculty of Natural and Earth Sciences","Shahre Kord University","","Shahre Kord","Chaharmahal va Bakhtiyari province","115","Iran"
"Smithsonian Institution, Department of Botany","Andrew P. Clark","Department of Botany","NMNH, MRC-166","P.O. Box 37012","Washington","District of Columbia","20013-7012","USA"
"Smithsonian Tropical Research Institute - Summit Herbarium","Mireya Correa","Apartado 2072","Smithsonian Tropical Research Institute","Apartado 2072","Balboa","","","Panama"
"South African Institute for Aquatic Biodiversity","Roger Bills","South African Institute for Aquatic Biodiversity","Private Bag 1015","","Grahamstown","","6140","South Africa"
"South Australia Museum","Robert Morris","South Australian Museum","Science Center","Morgan Thomas Lane","Adelaide","South Australia 5000","","Australia"
"Station Biologique de Roscoff","Bernard Kloareg","Station Biologique de Roscoff","Place G. Teissier","","Roscoff","","29682","France"
"Stroud Water Research Center","David H. Funk, Entomologist and Director of Facilities","Stroud Water Research Center","970 Spencer Road","","Avondale","PA","19311","USA"
"Swedish Museum of Natural History - Zoological Collections","Thomas Lyrholm","Box 50007","","","Stockholm","","104 05","Sweden"
"Tallinn Botanic Garden, Department of Environmental Education","Taimi Piin-Aaspollu","Department of Environmental Education","52 Kloostrimetsa Street","","11913 Tallinn","Harju","11913","Estonia"
"Tarleton State University, Biological Sciences Department","Allan D. Nelson","Biological Sciences Department","P.O. Box T-0100","","Stephenville","Texas","76402","USA"
"The Benedict Dybowski Zoological Museum","Ihor Shydlovskyy","Hrushevskyy Str. 4","","","Lviv","Lviv Province","79005","Ukraine"
"The Children's Hospital at Westmead","Dr Albert Chetcuti","Hawkesbury Road","","","Westmead","New South Wales","2145","Australia"
"The Culture Collection of Algae at the University of Texas Austin","David R. Nobles, Jr.","The University of Texas at Austin","The Culture Collection of Algae (UTEX)","1 University Station A6700","Austin","Texas","78705","USA"
"The Natural History Museum - Department of Botany","R. Huxley, Collections Leader","Department of Botany","Cromwell Road","Cromwell Rd","London SW7 5BD","England","Sw7 5BD","United Kingdom"
"The Packer Collection at York University","Dr. Laurence Packer","Rm 339 Lumbers Building","York University","4700 Keele Street","Toronto","Ontario","M3J 1P3","Canada"
"The University of Iowa (formerly State University of Iowa)","Trina Roberts, Associate Director of the University of Iowa Museum of Natural History","10 Macbride Hall","The University of Iowa","","Iowa City","Iowa","52242","USA"
"The University of West Alabama","Brian R. Keener","Department of Biological and Environmental Sciences","Station 7","Station 7","Livingston","Alabama","35470","USA"
"Tromso University Museum","Karl Frafjord, Leader of Natural Sciences","Tromso University Museum","","","NO-9037 Tromso","Troms","","Norway"
"Tulane University Herbarium","Anne S. Bradburn, Curator","Department of Ecology and Evolutionary Biology","","","New Orleans","Louisiana","70118-5698","USA"
"University of Tartu","Erich Kukk","Botanical and Mycological Museum","Natural History Museum","40 Lai Street","EE-51005 Tartu","LA","70037","Estonia"
"UC Davis Center for Plant Diversity","Ellen Dean, Curator","Plant Sciences MS#7","One Shields Avenue","One Shields Avenue","Davis","California","95616-8780","USA"
"United States National Parasite Collection","Eric Hoberg","Animal Parasitic Diseases Laboratory","BARC East 1180","10300 Baltimore Avenue","Beltsville","Maryland","20705","USA"
"Universidad de Navarra, Museum of Zoology","Arturo H. Ariño","Irunlarrea 1","","","Pamplona","Navarra","E-31008","Spain"
"Universidad del Valle, Facultad de Salud","Mauricio Barreto","Departamento de Microbiología","Calle 4 B # 36-00","San Fernando","Cali","Valle del Cauca","S. A.","Colombia"
"Universidade Federal de Alagoas","Tereza Cristina dos Santos Calado","Rua Hamilton de Barros Soutinho, n.452, Farol, Maceio, Alagoas ,CEP.57051-090","","","Maceio","Alagoas","Rua Aristeu de","Brazil"
"Universidade Federal do Parana, Colecao de Entomologia Pe. Jesus Santiago Moure","Luciane Marinoni","Parana; Curitiba","Centro Politecnico, Jardim das Americas, Cx.P. 19020","","Curitiba","Parana","81531-980","Brazil"
"Universita di Milano Bicocca, BTBS","Maurizio Casiraghi","Piazza della Scienza, 2","","","Milano","Lombardia","20126","Italy"
"Universita' degli Studi di Milano, Dip.VSA, Ispezione degli Alimenti di Origine Animale","Cristian Bernardi","Via Annibale Grasselli, 7","Via Giovanni Celoria, 10","","Milano","Italia","20137","Italy"
"Universita' degli Studi di Milano, Medicina Veterinaria, Sez. Parassitologia","CLAUDIO BANDI","","","","","","",""
"Herbarium Messanaensis, Università di Messina","Alessandro Crisafulli","Dipartimento di Scienze Biologiche e Ambientali, sez. Botanica, Università di Messina","Viale Ferdinando Stagno d'Alcontres, 31","","Messina","not applicable","98166","Italy"
"University of Alabama","Michael A. Bownes","801 Campus Drive","","","Tuscaloosa","AL","35487","USA"
"University of Alabama Herbarium","Steven Ginzbarg","Box 870345","Box 870345","","Tuscaloosa","Alabama","35487","USA"
"University of Alabama, Huntsville (Herbarium)","Robert Lawton","Biological Sciences Department","University of Alabama - Huntsville","","Huntsville","Alabama","35899","USA"
"University of Alaska Museum of the North, Herbarium","Stefanie Ickert-Bond","P.O. Box 756960, 907 Yukon Drive","907 Yukon Drive","","Fairbanks","Alaska","99775-6960","USA"
"University of Alaska Museum","Dusty McDonald","PO Box 756960","907 Yukon Drive","","Fairbanks","Alaska","99775-6960","USA"
"University of Barcelona Culture Collection","","Department de Biologia Vegetal, Unitat de Botànica, 3ª planta","Facultat de Biologia, Universitat de Barcelona","Avda. Diagonal, 645","Barcelona","Barcelona","8028","Spain"
